x,Gene
931,AP001187.9
932,AP001257.1
933,AP001258.4
934,AP001372.2
935,AP001432.14
936,AP001434.2
937,AP001462.6
938,AP001465.5
939,AP001476.2
940,AP001476.3
941,AP001476.4
942,AP001505.10
943,AP001595.1
944,AP001604.3
945,AP001607.1
946,AP001610.9
947,AP001628.7
948,AP001891.1
949,AP002856.4
950,AP002856.5
951,AP002856.7
952,AP003419.11
953,AP003774.4
954,AP003774.6
955,AP003900.6
956,AP004550.1
957,AP005242.1
958,AP005273.1
959,AP006222.2
960,AP006285.2
961,AP006285.6
962,AP006285.7
963,AP006621.5
964,AP006621.6
965,AP1AR
966,AP1G1
967,AP1M2
968,AP1S1
969,AP1S2
970,AP1S3
971,AP2B1
972,AP2M1
973,AP2S1
974,AP3M1
975,AP3S1
976,AP3S2
977,AP5B1
978,APC2
979,APCDD1
980,APELA
981,APEX1
982,APH1B
983,API5
984,APIP
985,APITD1
986,APITD1-CORT
987,APLN
988,APLP2
989,APMAP
990,APOA1BP
991,APOBEC2
992,APOBEC3B
993,APOBEC3C
994,APOBEC3D
995,APOBEC3F
996,APOBEC4
997,APOC1
998,APOC2
999,APOC4
1000,APOC4-APOC2
1001,APOD
1002,APOE
1003,APOF
1004,APOH
1005,APOL1
1006,APOL4
1007,APOL6
1008,APOLD1
1009,APOO
1010,APOOL
1011,APOPT1
1012,APP
1013,APPL1
1014,APPL2
1015,APRT
1016,APTR
1017,AQP1
1018,AQP11
1019,AQP12A
1020,AQP2
1021,AQP3
1022,AQP7
1023,AQP9
1024,AR
1025,ARCN1
1026,AREG
1027,ARF1
1028,ARF4
1029,ARF5
1030,ARF6
1031,ARFGAP3
1032,ARFGEF1
1033,ARFGEF2
1034,ARFIP1
1035,ARFIP2
1036,ARG2
1037,ARGFX
1038,ARGLU1
1039,ARHGAP10
1040,ARHGAP12
1041,ARHGAP18
1042,ARHGAP21
1043,ARHGAP28
1044,ARHGAP29
1045,ARHGAP32
1046,ARHGAP35
1047,ARHGAP5
1048,ARHGAP6
1049,ARHGAP8
1050,ARHGDIA
1051,ARHGDIB
1052,ARHGDIG
1053,ARHGEF1
1054,ARHGEF12
1055,ARHGEF25
1056,ARHGEF26
1057,ARHGEF35
1058,ARHGEF37
1059,ARHGEF38
1060,ARHGEF5
1061,ARHGEF7
1062,ARID2
1063,ARID3B
1064,ARID4A
1065,ARID4B
1066,ARID5A
1067,ARID5B
1068,ARIH1
1069,ARIH2
1070,ARIH2OS
1071,ARL1
1072,ARL13B
1073,ARL14EP
1074,ARL15
1075,ARL17A
1076,ARL17B
1077,ARL2
1078,ARL2BP
1079,ARL2-SNX15
1080,ARL3
1081,ARL4A
1082,ARL4C
1083,ARL4D
1084,ARL5A
1085,ARL5B
1086,ARL6IP1
1087,ARL6IP4
1088,ARL6IP5
1089,ARL6IP6
1090,ARL8A
1091,ARL8B
1092,ARMC1
1093,ARMC10
1094,ARMC7
1095,ARMC8
1096,ARMCX1
1097,ARMCX3
1098,ARMCX6
1099,ARMS2
1100,ARNT
1101,ARPC1A
1102,ARPC2
1103,ARPC3
1104,ARPC4
1105,ARPC4-TTLL3
1106,ARPC5
1107,ARPC5L
1108,ARPIN
1109,ARPP19
1110,ARRDC3
1111,ARRDC4
1112,ARRDC5
1113,ARSA
1114,ARSD
1115,ARSI
1116,ART4
1117,ARV1
1118,ARX
1119,AS3MT
1120,ASAH1
1121,ASAP1
1122,ASB13
1123,ASB16
1124,ASB18
1125,ASCC3
1126,ASCL1
1127,ASCL2
1128,ASCL3
1129,ASCL4
1130,ASF1A
1131,ASH1L
1132,ASIC3
1133,ASIP
1134,ASNA1
1135,ASNS
1136,ASPH
1137,ASPHD1
1138,ASPN
1139,ASRGL1
1140,ASS1
1141,ASXL1
1142,ASXL2
1143,ATAD1
1144,ATAD2
1145,ATAD2B
1146,ATAD3A
1147,ATE1
1148,ATF1
1149,ATF2
1150,ATF3
1151,ATF4
1152,ATF5
1153,ATF6
1154,ATF6B
1155,ATF7
1156,ATF7IP
1157,ATG14
1158,ATG16L1
1159,ATG3
1160,ATG4D
1161,ATIC
1162,ATL2
1163,ATM
1164,ATN1
1165,ATOH1
1166,ATOH7
1167,ATOX1
1168,ATP11A
1169,ATP11B
1170,ATP13A3
